"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.03125","0.011026077097505667","0.32989690721649484","0.7","10","8","false","Adamts5","10.0","0","10","5","0.8871527777777778","false","0","Adamts5","124","0.37037037037037035"
"2.875","0.019256660997732423","0.34782608695652173","0.6428571428571429","16","8","false","Mmp13","9.875","0","16","8","0.8958333333333334","false","0","Mmp13","244","0.3185483870967742"
"3.140625","0.044415509259259266","0.31840796019900497","0.1","10","7","false","Igfbp5","4.8","0","10","5","0.8810763888888888","false","0","Igfbp5","552","0.35"
"2.765625","0.1020142431972789","0.3615819209039548","0.3888888888888889","18","8","false","Mdk","8.555555555555555","0","18","9","0.9019097222222222","false","0","Mdk","938","0.25252525252525254"
"2.828125","0.0783562667491239","0.35359116022099446","0.4666666666666667","20","8","false","Ptgs2","8.4","0","20","10","0.8984375","false","0","Ptgs2","868","0.267741935483871"
"2.578125","0.27115956546760117","0.3878787878787879","0.1895424836601307","36","8","false","Il1b","5.611111111111111","0","36","18","0.9123263888888888","false","0","Il1b","2652","0.15849673202614378"
"2.875","0.012073917319453035","0.34782608695652173","0.7142857142857143","14","8","false","Arg1","11.0","0","14","7","0.8958333333333334","false","0","Arg1","202","0.34375"
"2.59375","0.09142181809592524","0.3855421686746988","0.4","22","7","false","Pparg","7.909090909090909","0","22","11","0.9114583333333334","false","0","Pparg","1108","0.232620320855615"
"3.046875","0.029767165704665713","0.3282051282051282","0.39285714285714285","16","8","false","Serpinb7","7.75","0","16","8","0.8862847222222222","false","0","Serpinb7","406","0.305"
"2.4375","0.3383263974781831","0.41025641025641024","0.21978021978021978","28","7","false","Cxcr4","6.642857142857143","0","28","14","0.9201388888888888","false","0","Cxcr4","4194","0.17567567567567569"
