"ENSEMBL","SYMBOL","GENENAME"
"ENSMUSG00000013415","Igf2bp1","insulin-like growth factor 2 mRNA binding protein 1"
"ENSMUSG00000078706",NA,NA
"ENSMUSG00000028024","Enpep","glutamyl aminopeptidase"
"ENSMUSG00000025328","Padi3","peptidyl arginine deiminase, type III"
"ENSMUSG00000050578","Mmp13","matrix metallopeptidase 13"
"ENSMUSG00000005892","Trh","thyrotropin releasing hormone"
"ENSMUSG00000033295","Ptprf","protein tyrosine phosphatase receptor type F"
"ENSMUSG00000042985","Upk3b","uroplakin 3B"
"ENSMUSG00000020875","Hoxb9","homeobox B9"
"ENSMUSG00000038319","Kcnh2","potassium voltage-gated channel, subfamily H (eag-related), member 2"
"ENSMUSG00000138387",NA,NA
"ENSMUSG00000036169","Sostdc1","sclerostin domain containing 1"
"ENSMUSG00000095180","Rhox5","reproductive homeobox 5"
"ENSMUSG00000009614","Sardh","sarcosine dehydrogenase"
"ENSMUSG00000004872","Pax3","paired box 3"
"ENSMUSG00000046352","Gjb2","gap junction protein, beta 2"
"ENSMUSG00000027239","Mdk","midkine"
"ENSMUSG00000003541","Ier3","immediate early response 3"
"ENSMUSG00000032487","Ptgs2","prostaglandin-endoperoxide synthase 2"
"ENSMUSG00000054146","Krt15","keratin 15"
"ENSMUSG00000026358","Rgs1","regulator of G-protein signaling 1"
"ENSMUSG00000025885","Myo5b","myosin VB"
"ENSMUSG00000046844","Vat1l","vesicle amine transport protein 1 like"
"ENSMUSG00000045545","Krt14","keratin 14"
"ENSMUSG00000021047","Nova1","NOVA alternative splicing regulator 1"
"ENSMUSG00000043004","Gng2","guanine nucleotide binding protein (G protein), gamma 2"
"ENSMUSG00000019852","Arfgef3","ARFGEF family member 3"
"ENSMUSG00000020423","Btg2","BTG anti-proliferation factor 2"
"ENSMUSG00000034903","Cobll1","Cobl-like 1"
"ENSMUSG00000054889","Dsp","desmoplakin"
"ENSMUSG00000058354","Krt6a","keratin 6A"
"ENSMUSG00000022894","Adamts5","ADAM metallopeptidase with thrombospondin type 1 motif 5"
"ENSMUSG00000143161",NA,NA
"ENSMUSG00000026185","Igfbp5","insulin-like growth factor binding protein 5"
"ENSMUSG00000020893","Per1","period circadian clock 1"
"ENSMUSG00000028399","Ptprd","protein tyrosine phosphatase receptor type D"
"ENSMUSG00000015222","Map2","microtubule-associated protein 2"
