"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030216","keratinocyte differentiation","12/133","163/28891",1.47077785713983e-11,3.79460687142077e-08,2.6474001428517e-08,"Ptgs2/Krt14/Dsp/Krt6a/Bcl11b/Krt17/Epha2/Tfap2a/Krt16/Krt5/Pou3f1/Wnt16",12
"GO:0043588","skin development","15/133","340/28891",5.86456052192129e-11,7.56528307327847e-08,5.27810446972916e-08,"Sostdc1/Ptgs2/Krt14/Dsp/Krt6a/Igfbp5/Bcl11b/Lgr5/Krt17/Epha2/Tfap2a/Krt16/Krt5/Pou3f1/Wnt16",15
"GO:0008544","epidermis development","15/133","397/28891",5.03647276122604e-10,4.33136657465439e-07,3.02188365673562e-07,"Sostdc1/Ptgs2/Krt14/Dsp/Krt6a/Igfbp5/Bcl11b/Lgr5/Krt17/Epha2/Tfap2a/Krt16/Krt5/Pou3f1/Wnt16",15
"GO:0009913","epidermal cell differentiation","12/133","252/28891",2.25278215770589e-09,1.4530444917203e-06,1.01375197096765e-06,"Ptgs2/Krt14/Dsp/Krt6a/Bcl11b/Krt17/Epha2/Tfap2a/Krt16/Krt5/Pou3f1/Wnt16",12
"GO:0045109","intermediate filament organization","7/133","76/28891",6.27235509040738e-08,2.68187565039255e-05,1.87107603515759e-05,"Krt15/Krt14/Dsp/Krt6a/Krt17/Krt16/Krt5",7
"GO:0048732","gland development","14/133","489/28891",6.42170336402132e-08,2.68187565039255e-05,1.87107603515759e-05,"Hoxb9/Sostdc1/Pax3/Mdk/Igfbp5/Bcl11b/Nkx2-3/Irs2/Epha2/Hand2/Vwf/Hoxd13/Isl1/Ccdc40",14
"GO:0050767","regulation of neurogenesis","14/133","494/28891",7.27640680339064e-08,2.68187565039255e-05,1.87107603515759e-05,"Ptprf/Mdk/Myo5b/Btg2/Ptprd/Map2/Il1b/Sema3e/Cxcr4/Pak3/Lingo1/Dpysl5/Casz1/Pparg",14
"GO:0043523","regulation of neuron apoptotic process","11/133","310/28891",2.14848220924812e-07,5.92068550040091e-05,4.13071081423319e-05,"Ptprf/Mdk/Btg2/Il1b/Sema3e/Pak3/Tfap2a/Htr2a/Pmaip1/Isl1/Grik2",11
"GO:0043525","positive regulation of neuron apoptotic process","7/133","94/28891",2.74186475032695e-07,5.92068550040091e-05,4.13071081423319e-05,"Ptprf/Il1b/Pak3/Tfap2a/Htr2a/Pmaip1/Grik2",7
"GO:0001667","ameboidal-type cell migration","13/133","471/28891",2.94991498983912e-07,5.92068550040091e-05,4.13071081423319e-05,"Pax3/Ptgs2/Twist1/Irs2/Sema3e/Cxcr4/Epha2/Pak3/Tfap2a/Hand2/Krt16/Isl1/Pparg",13
"GO:0060562","epithelial tube morphogenesis","12/133","395/28891",3.13432707937054e-07,5.92068550040091e-05,4.13071081423319e-05,"Sostdc1/Pax3/Mdk/Lgr5/Twist1/Sema3e/Cxcr4/Epha2/Tfap2a/Mgp/Hand2/Ccdc40",12
"GO:0045104","intermediate filament cytoskeleton organization","7/133","96/28891",3.16851539967889e-07,5.92068550040091e-05,4.13071081423319e-05,"Krt15/Krt14/Dsp/Krt6a/Krt17/Krt16/Krt5",7
"GO:0045103","intermediate filament-based process","7/133","97/28891",3.40195802082238e-07,5.92068550040091e-05,4.13071081423319e-05,"Krt15/Krt14/Dsp/Krt6a/Krt17/Krt16/Krt5",7
"GO:0042303","molting cycle","8/133","143/28891",3.44225901186099e-07,5.92068550040091e-05,4.13071081423319e-05,"Sostdc1/Ptgs2/Krt14/Igfbp5/Per1/Lgr5/Krt17/Krt16",8
"GO:0042633","hair cycle","8/133","143/28891",3.44225901186099e-07,5.92068550040091e-05,4.13071081423319e-05,"Sostdc1/Ptgs2/Krt14/Igfbp5/Per1/Lgr5/Krt17/Krt16",8
"GO:0021953","central nervous system neuron differentiation","9/133","212/28891",6.45243666637871e-07,0.000104045541245357,7.25899124967604e-05,"Pax3/Btg2/Bcl11b/Sema3e/Hoxd10/Lhx4/Tfap2a/Lingo1/Isl1",9
"GO:0051402","neuron apoptotic process","11/133","369/28891",1.19550500213718e-06,0.000181435465030231,0.000126582882579231,"Ptprf/Mdk/Btg2/Il1b/Sema3e/Pak3/Tfap2a/Htr2a/Pmaip1/Isl1/Grik2",11
"GO:0060485","mesenchyme development","10/133","316/28891",2.18946659109485e-06,0.000313823544723596,0.000218946659109485,"Pax3/Mdk/Adamts5/Il1b/Twist1/Sema3e/Tfap2a/Hand2/Isl1/Wnt16",10
"GO:0001503","ossification","12/133","484/28891",2.62149567574277e-06,0.000355971518074545,0.000248352221912473,"Mmp13/Mdk/Ptgs2/Igfbp5/Twist1/Epha2/Kazald1/Tfap2a/Mgp/Gdpd2/Hand2/Pparg",12
"GO:0048762","mesenchymal cell differentiation","9/133","254/28891",2.87251739118466e-06,0.000370554743462822,0.00025852656520662,"Pax3/Mdk/Il1b/Twist1/Sema3e/Tfap2a/Hand2/Isl1/Wnt16",9
