"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000013415.10",769.490099512176,2.48341838097331,0.212561747064063,11.6832798717299,1.55189537724237e-31,2.37222727365269e-27
"ENSMUSG00000078706.7",225.018021496977,4.45064316831612,0.384358427524414,11.5794083064132,5.24065193203831e-31,4.00543027165688e-27
"ENSMUSG00000028024.15",618.5760858739,-1.9370489573556,0.237855217052329,-8.14381530647463,3.83013316096653e-16,1.95158051661781e-12
"ENSMUSG00000025328.10",555.382477829811,-2.70540921864348,0.33563551889018,-8.06055696247301,7.59476121804146e-16,2.90233799947454e-12
"ENSMUSG00000050578.11",1770.35572560959,2.51677474026213,0.31575602128954,7.97063102703057,1.57866188444962e-15,4.82628511313939e-12
"ENSMUSG00000005892.5",391.923093316443,-3.83281753304915,0.518975953640589,-7.38534705926573,1.52056231633183e-13,3.87388592790806e-10
"ENSMUSG00000033295.15",2190.29738540726,1.26281200977011,0.173330813657523,7.28555980972458,3.20337318348123e-13,6.12084531033675e-10
"ENSMUSG00000042985.8",3433.14746849374,1.08453300045205,0.148655204024755,7.29562754003177,2.97270221278366e-13,6.12084531033675e-10
"ENSMUSG00000020875.10",365.195972713689,4.06552846937086,0.56221141021711,7.23131618371257,4.7833521807525e-13,8.1242579372203e-10
"ENSMUSG00000038319.15",2686.8391955724,-1.34681447668576,0.194285948574195,-6.93212497645674,4.14565449996273e-12,5.76095224422094e-09
"ENSMUSG00000138387.1",145.634488414661,3.25456139227215,0.469136870105917,6.93733875902223,3.99554940626398e-12,5.76095224422094e-09
"ENSMUSG00000036169.7",651.814001895214,2.14105023151027,0.320760220070154,6.67492443745673,2.47359581585131e-11,3.15094880342526e-08
"ENSMUSG00000095180.11",142.260813047864,-3.07546246290243,0.463999731888233,-6.62815568963138,3.39906867816236e-11,3.99678183187614e-08
"ENSMUSG00000009614.17",1801.43381428874,-1.18069815476784,0.180580209298007,-6.53835854636408,6.21976722816775e-11,6.79109727498373e-08
"ENSMUSG00000026558.14",10250.2459505232,0.911839955340381,0.140372349360832,6.49586588450168,8.25571801206222e-11,8.41312703549221e-08
"ENSMUSG00000004872.16",406.111837009589,2.06031880404361,0.321072833106309,6.41698266437082,1.39001744259228e-10,1.3279879142166e-07
"ENSMUSG00000046352.8",192.415882868309,2.23465064276702,0.350071279473471,6.38341610350919,1.7318049250058e-10,1.55719824021404e-07
"ENSMUSG00000027239.15",2839.26623307704,-1.39998363316565,0.225413370221794,-6.21073910473075,5.2735966625821e-10,4.47845547690166e-07
"ENSMUSG00000003541.7",900.555359711387,1.30671017525839,0.211212219407273,6.18671674832746,6.1430200377032e-10,4.94222127875427e-07
"ENSMUSG00000032487.9",6805.22902956765,1.49064787679649,0.243863678238725,6.11262770890076,9.80038214334222e-10,7.49043207215646e-07
"ENSMUSG00000054146.9",62.7340407192641,5.45835918355142,0.897088858009667,6.08452455385707,1.1683749687171e-09,8.50465703419505e-07
"ENSMUSG00000026358.14",230.760913013222,2.62085884252566,0.434145983828102,6.03681466638506,1.57186077259048e-09,1.04467233781818e-06
"ENSMUSG00000025885.19",129.939518278513,2.67306721580145,0.442545915087993,6.04020311716121,1.5392034387392e-09,1.04467233781818e-06
"ENSMUSG00000046844.7",126.416415457958,4.30297208740005,0.726323567879345,5.92431841357356,3.1359531192328e-09,1.99734080752469e-06
"ENSMUSG00000045545.9",2443.97925595775,1.5681248832949,0.267089744682216,5.87115347749745,4.32773386874183e-09,2.51432796485797e-06
"ENSMUSG00000021047.8",221.657922943368,-1.95770390161394,0.333117526989344,-5.8769165324542,4.17978822445573e-09,2.51432796485797e-06
"ENSMUSG00000043004.14",1255.90157839585,1.27336236164703,0.217043055803148,5.8668652490865,4.44111311338253e-09,2.51432796485797e-06
"ENSMUSG00000019852.8",432.885298858565,1.72940800853672,0.296977219761276,5.82336924672843,5.76729387804309e-09,3.14853050784881e-06
"ENSMUSG00000020423.7",3620.14311630655,1.1364410619668,0.197572792253259,5.7520119496517,8.81875642924893e-09,4.64839692336204e-06
"ENSMUSG00000034903.19",678.078416594491,1.45714610168893,0.25478983178896,5.71901198512453,1.07145238188069e-08,5.45940703647609e-06
"ENSMUSG00000036564.18",2255.06565835787,0.916764270053477,0.160488639159007,5.71233125819688,1.11438895762023e-08,5.49501600199445e-06
"ENSMUSG00000031517.9",4550.90146083257,0.984315959941969,0.17443868790303,5.64276177363332,1.67343821967838e-08,7.76903323115446e-06
