Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR37143663,2026-02-27 12:20:32,2026-02-06 10:46:41,23987741,7196322300,23987741,300,1875,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143663/SRR37143663.lite.1,SRX32084997,GSM9500736,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020158,SAMN55196832,simple,10090,Mus musculus,GSM9500736,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,B892FA31AB12A78EA3B871AF678AD7BB,81B8B74D993A9F20EE7281258F6CAB65
SRR37143662,2026-02-27 12:20:32,2026-02-06 10:46:06,23914526,7174357800,23914526,300,1874,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143662/SRR37143662.lite.1,SRX32084998,GSM9500737,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020159,SAMN55196831,simple,10090,Mus musculus,GSM9500737,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,7163F6C32266EB90E9924701DFD74407,BE57FA83EE0CC1058933662DD48DCF6D
SRR37143661,2026-02-27 12:20:32,2026-02-06 10:44:11,21349651,6404895300,21349651,300,1679,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143661/SRR37143661.lite.1,SRX32084999,GSM9500738,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020160,SAMN55196830,simple,10090,Mus musculus,GSM9500738,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,6B690D119EBDE4B7F40F903C5647B067,95F66023C8B9AB2195F7487AA11F2587
SRR37143660,2026-02-27 12:20:32,2026-02-06 10:45:50,23404809,7021442700,23404809,300,1842,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143660/SRR37143660.lite.1,SRX32085000,GSM9500739,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020161,SAMN55196829,simple,10090,Mus musculus,GSM9500739,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,05D2A4095A86DB76339C1FBBF1898C18,A1C29E5B4867E1A6374A2374ED73D917
SRR37143659,2026-02-27 12:20:32,2026-02-06 10:44:01,23421477,7026443100,23421477,300,1850,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143659/SRR37143659.lite.1,SRX32085001,GSM9500740,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020162,SAMN55196828,simple,10090,Mus musculus,GSM9500740,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,BE8A032812B2FB9DA1C07B1988022AD9,3798EC42E834469716CDE440BD3E224C
SRR37143652,2026-02-27 12:20:32,2026-02-06 10:47:37,27004470,8101341000,27004470,300,2112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143652/SRR37143652.lite.1,SRX32085008,GSM9500747,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020170,SAMN55196821,simple,10090,Mus musculus,GSM9500747,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,0B0BDCBE769EF8803ED09D320C246B5B,D8111F43A57A19CF971610958C6891A4
SRR37143651,2026-02-27 12:20:32,2026-02-06 10:43:48,25441685,7632505500,25441685,300,2003,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143651/SRR37143651.lite.1,SRX32085009,GSM9500748,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020169,SAMN55196820,simple,10090,Mus musculus,GSM9500748,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,67A2BF2D2E1FEE5F50941023857FC5AB,325FED7F7F8692A4A834D7710A173E20
SRR37143650,2026-02-27 12:20:32,2026-02-06 10:45:12,25932000,7779600000,25932000,300,2028,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143650/SRR37143650.lite.1,SRX32085010,GSM9500749,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020171,SAMN55196819,simple,10090,Mus musculus,GSM9500749,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,F6BD8C108423CB8E60DCE2E8BF5D08DE,4C403FE3B184A675FD129370C9611202
SRR37143649,2026-02-27 12:20:32,2026-02-06 10:46:55,22691697,6807509100,22691697,300,1782,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143649/SRR37143649.lite.1,SRX32085011,GSM9500750,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020172,SAMN55196818,simple,10090,Mus musculus,GSM9500750,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,C00A913F35D2AE9B47FFB05D353300AF,9893C52ACD783A01A2B40D5F5C8F0628
SRR37143648,2026-02-27 12:20:32,2026-02-06 10:46:36,21374106,6412231800,21374106,300,1700,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos10/sra-pub-zq-1002/SRR037/37143/SRR37143648/SRR37143648.lite.1,SRX32085012,GSM9500751,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq X Plus,SRP675219,PRJNA1419777,,1419777,SRS28020173,SAMN55196817,simple,10090,Mus musculus,GSM9500751,,,,,,,no,,,,,"GYNECOLOGY AND OBSTETRICS, KINDAI UNIVERSITY",SRA2329505,,public,4457C860474CCA2AF7ADE5310BB26780,67C1D528F60C9088840A21B82BFA62CA
