#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Adamts5	Mmp13	10090.ENSMUSP00000023611	10090.ENSMUSP00000015394	0	0	0	0	0.051	0	0	0.893	0.894
Adamts5	Igfbp5	10090.ENSMUSP00000023611	10090.ENSMUSP00000027377	0	0	0	0	0.068	0	0	0.391	0.409
Adamts5	Mdk	10090.ENSMUSP00000023611	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.487	0.487
Adamts5	Ptgs2	10090.ENSMUSP00000023611	10090.ENSMUSP00000035065	0	0	0	0	0.042	0	0	0.549	0.550
Adamts5	Il1b	10090.ENSMUSP00000023611	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.707	0.707
Arg1	Pparg	10090.ENSMUSP00000020161	10090.ENSMUSP00000000450	0	0	0	0	0	0.062	0	0.622	0.630
Arg1	Mmp13	10090.ENSMUSP00000020161	10090.ENSMUSP00000015394	0	0	0	0	0.091	0	0	0.422	0.452
Arg1	Serpinb7	10090.ENSMUSP00000020161	10090.ENSMUSP00000083896	0	0	0	0	0.054	0.053	0	0.444	0.458
Arg1	Cxcr4	10090.ENSMUSP00000020161	10090.ENSMUSP00000053489	0	0	0	0	0	0	0	0.500	0.499
Arg1	Hand2	10090.ENSMUSP00000020161	10090.ENSMUSP00000044983	0	0	0	0	0.079	0	0	0.491	0.511
Arg1	Ptgs2	10090.ENSMUSP00000020161	10090.ENSMUSP00000035065	0	0	0	0	0.054	0	0	0.648	0.653
Arg1	Il1b	10090.ENSMUSP00000020161	10090.ENSMUSP00000028881	0	0	0	0	0.107	0	0	0.801	0.815
Asb5	Ptprd	10090.ENSMUSP00000033918	10090.ENSMUSP00000133468	0	0	0	0	0.051	0.051	0	0.555	0.564
Bcl11b	Isl1	10090.ENSMUSP00000068258	10090.ENSMUSP00000044879	0	0	0	0	0.083	0.065	0	0.434	0.472
Bcl11b	Serpinb7	10090.ENSMUSP00000068258	10090.ENSMUSP00000083896	0	0	0	0	0.050	0.047	0	0.565	0.571
Btg2	Hoxb9	10090.ENSMUSP00000020692	10090.ENSMUSP00000000010	0	0	0	0	0	0.077	0	0.848	0.854
Btg2	Ier3	10090.ENSMUSP00000020692	10090.ENSMUSP00000003635	0	0	0	0	0.118	0	0	0.360	0.411
Btg2	Pmaip1	10090.ENSMUSP00000020692	10090.ENSMUSP00000025399	0	0	0	0	0.079	0	0	0.391	0.415
Celf2	Nova1	10090.ENSMUSP00000110574	10090.ENSMUSP00000021438	0	0	0	0	0.072	0.061	0	0.536	0.560
Celf2	Ptgs2	10090.ENSMUSP00000110574	10090.ENSMUSP00000035065	0	0	0	0	0	0	0	0.583	0.583
Cnih2	Col7a1	10090.ENSMUSP00000025805	10090.ENSMUSP00000107701	0	0	0	0	0.043	0	0.500	0	0.501
Cnih2	Grik2	10090.ENSMUSP00000025805	10090.ENSMUSP00000151921	0	0	0	0	0.099	0	0.720	0.366	0.826
Col17a1	Krt14	10090.ENSMUSP00000026045	10090.ENSMUSP00000007272	0	0	0	0	0.387	0.095	0	0.670	0.801
Col17a1	Krt16	10090.ENSMUSP00000026045	10090.ENSMUSP00000007280	0	0	0	0	0.278	0.095	0	0.326	0.522
Col17a1	Krt5	10090.ENSMUSP00000026045	10090.ENSMUSP00000023709	0	0	0	0	0.566	0.095	0	0.645	0.848
Col17a1	Krt6a	10090.ENSMUSP00000026045	10090.ENSMUSP00000023788	0	0	0	0	0.260	0.095	0	0.298	0.488
Col17a1	Krt17	10090.ENSMUSP00000026045	10090.ENSMUSP00000079699	0	0	0	0	0.289	0.095	0	0.253	0.477
