STAR version=2.7.11b
STAR compilation time,server,dir=2025-07-24T03:06:21+0000 :/opt/conda/conda-bld/star_1753326220084/work/source
##### Command Line:
/home/prudhvi_pandu/miniconda3/envs/rnaseq/bin/STAR-avx2 --runThreadN 2 --runMode genomeGenerate --genomeDir star_index --genomeFastaFiles reference/GRCm39.primary_assembly.genome.fa --sjdbGTFfile reference/gencode.vM38.primary_assembly.annotation.gtf --sjdbOverhang 149 --genomeSAsparseD 2 --limitGenomeGenerateRAM 12000000000
##### Initial USER parameters from Command Line:
###### All USER parameters from Command Line:
runThreadN                    2     ~RE-DEFINED
runMode                       genomeGenerate        ~RE-DEFINED
genomeDir                     star_index     ~RE-DEFINED
genomeFastaFiles              reference/GRCm39.primary_assembly.genome.fa        ~RE-DEFINED
sjdbGTFfile                   reference/gencode.vM38.primary_assembly.annotation.gtf     ~RE-DEFINED
sjdbOverhang                  149     ~RE-DEFINED
genomeSAsparseD               2     ~RE-DEFINED
limitGenomeGenerateRAM        12000000000     ~RE-DEFINED
##### Finished reading parameters from all sources

##### Final user re-defined parameters-----------------:
runMode                           genomeGenerate   
runThreadN                        2
genomeDir                         star_index
genomeFastaFiles                  reference/GRCm39.primary_assembly.genome.fa   
genomeSAsparseD                   2
limitGenomeGenerateRAM            12000000000
sjdbGTFfile                       reference/gencode.vM38.primary_assembly.annotation.gtf
sjdbOverhang                      149

-------------------------------
##### Final effective command line:
/home/prudhvi_pandu/miniconda3/envs/rnaseq/bin/STAR-avx2   --runMode genomeGenerate      --runThreadN 2   --genomeDir star_index   --genomeFastaFiles reference/GRCm39.primary_assembly.genome.fa      --genomeSAsparseD 2   --limitGenomeGenerateRAM 12000000000   --sjdbGTFfile reference/gencode.vM38.primary_assembly.annotation.gtf   --sjdbOverhang 149
----------------------------------------

Number of fastq files for each mate = 1
ParametersSolo: --soloCellFilterType CellRanger2.2 filtering parameters:  3000 0.99 10
Finished loading and checking parameters
--genomeDir directory exists and will be overwritten: star_index/
Apr 02 18:00:58 ... starting to generate Genome files
reference/GRCm39.primary_assembly.genome.fa : chr # 0  "chr1" chrStart: 0
reference/GRCm39.primary_assembly.genome.fa : chr # 1  "chr2" chrStart: 195297280
reference/GRCm39.primary_assembly.genome.fa : chr # 2  "chr3" chrStart: 377225216
reference/GRCm39.primary_assembly.genome.fa : chr # 3  "chr4" chrStart: 537133056
reference/GRCm39.primary_assembly.genome.fa : chr # 4  "chr5" chrStart: 694157312
reference/GRCm39.primary_assembly.genome.fa : chr # 5  "chr6" chrStart: 845938688
reference/GRCm39.primary_assembly.genome.fa : chr # 6  "chr7" chrStart: 995622912
reference/GRCm39.primary_assembly.genome.fa : chr # 7  "chr8" chrStart: 1140850688
reference/GRCm39.primary_assembly.genome.fa : chr # 8  "chr9" chrStart: 1271136256
reference/GRCm39.primary_assembly.genome.fa : chr # 9  "chr10" chrStart: 1395654656
reference/GRCm39.primary_assembly.genome.fa : chr # 10  "chr11" chrStart: 1526202368
reference/GRCm39.primary_assembly.genome.fa : chr # 11  "chr12" chrStart: 1648361472
reference/GRCm39.primary_assembly.genome.fa : chr # 12  "chr13" chrStart: 1768685568
reference/GRCm39.primary_assembly.genome.fa : chr # 13  "chr14" chrStart: 1889796096
reference/GRCm39.primary_assembly.genome.fa : chr # 14  "chr15" chrStart: 2015100928
reference/GRCm39.primary_assembly.genome.fa : chr # 15  "chr16" chrStart: 2119434240
reference/GRCm39.primary_assembly.genome.fa : chr # 16  "chr17" chrStart: 2217476096
reference/GRCm39.primary_assembly.genome.fa : chr # 17  "chr18" chrStart: 2312896512
